BHP : Projection UTM Zone 12N; Datum WGS84
Patch:   Cobre
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC          M01         M02         M03         M04         M05         M06         M07         M08         M09         M10         M11         M12         M13         M14         M15         M16         M17         M18         M19         M20
    91       29     Good      826  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   II005080.DAT   538265.000  3621173.000      861.000            1         2350   RR005194.DAT   539045.000  3621442.000      889.000            1         3150        0.000        2.055        1.494     4083.367         0.10        31.00       Accept      61597.410        385.200         114          2000    -18.1     0.00   Accept       -1.473      -0.787      -0.402      -0.164      -0.077      -0.044      -0.025      -0.010      -0.007      -0.008      -0.008      -0.004       0.005       0.016       0.022       0.012      -0.008      -0.014       0.001       0.017
    91       30     Good      825  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   TE001822.DAT   537484.000  3620910.000      824.000            1         1550   II005080.DAT   538265.000  3621173.000      861.000            1         2350        0.000        5.372        0.598     4083.367         0.10        41.20       Accept      31316.632        369.068         114          2000    -10.6     0.00   Accept       -2.605      -1.363      -0.689      -0.277      -0.124      -0.057      -0.014       0.017       0.027       0.032       0.033       0.022       0.005      -0.009       0.000       0.023       0.027       0.016      -0.000      -0.007
    91       34     Good      824  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   IW004024.DAT   538167.000  3621145.000      858.000            1         2250   PP004430.DAT   538946.000  3621410.000      892.000            1         3050        0.000        2.227        1.352     4083.367         0.10        31.30       Accept      57397.904        383.316         114          2000    -23.8     0.00   Accept       -2.174      -1.096      -0.536      -0.205      -0.089      -0.045      -0.023      -0.010      -0.009      -0.013      -0.013      -0.008       0.002       0.014       0.021       0.012      -0.006      -0.012      -0.000       0.014
    91       35     Good      824  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   XZ001289.DAT   537389.000  3620875.000      819.000            1         1450   IW004024.DAT   538167.000  3621145.000      858.000            1         2250        0.000        6.563        0.484     4083.367         0.10        45.51       Accept      28314.429        365.666         114          2000    -10.3     0.00   Accept       -3.095      -1.610      -0.811      -0.324      -0.144      -0.066      -0.018       0.016       0.029       0.036       0.038       0.030       0.014      -0.007      -0.003       0.020       0.028       0.020       0.003      -0.003
    91       51     Good      827  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   JH005950.DAT   536800.000  3620680.000      796.000            1          850   TN003852.DAT   537583.000  3620945.000      829.000            1         1650        0.000       22.506        0.154     4083.367         0.10        76.59       Accept      13895.364        325.672         114          2000     -4.6     0.00   Accept       -4.776      -2.616      -1.350      -0.549      -0.245      -0.115      -0.040       0.010       0.028       0.037       0.044       0.046       0.040       0.031       0.029       0.035       0.035       0.024       0.017       0.019
    91       56     Good      823  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   JY004020.DAT   536610.000  3620611.000      790.000            1          650   XZ001289.DAT   537389.000  3620875.000      819.000            1         1450        0.000       29.257        0.138     4083.367         0.10        75.66       Accept      10559.884        301.747         114          2000     -3.6     0.00   Accept       -5.081      -2.785      -1.432      -0.575      -0.250      -0.112      -0.033       0.023       0.043       0.050       0.052       0.048       0.044       0.042       0.043       0.041       0.029       0.022       0.027       0.032
    91       76     Good      821  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   X4001349.DAT   538071.000  3621112.000      854.000            1         2150   MS004554.DAT   538847.000  3621376.000      893.000            1         2950        0.000        2.475        1.338     4083.367         0.10        32.33       Accept      53346.319        380.987         114          2000    -16.0     0.00   Accept       -1.562      -0.836      -0.424      -0.169      -0.074      -0.036      -0.015      -0.004      -0.007      -0.012      -0.015      -0.012      -0.001       0.014       0.021       0.008      -0.010      -0.010       0.004       0.016
    91       78     Good      823  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   WE001185.DAT   537874.000  3621041.000      844.000            1         1950   MT003426.DAT   538651.000  3621310.000      879.000            1         2750        0.000        2.873        1.275     4083.367         0.10        31.72       Accept      45083.842        379.204         114          2000    -17.2     0.00   Accept       -2.019      -1.054      -0.528      -0.206      -0.086      -0.036      -0.006       0.010       0.008      -0.000      -0.008      -0.012      -0.010      -0.001       0.016       0.018       0.001      -0.010      -0.005       0.009
    91       88     Good      827  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   MY002012.DAT   536703.000  3620641.000      792.000            1          750   TE001822.DAT   537484.000  3620910.000      824.000            1         1550        0.000       26.435        0.126     4083.367         0.10        77.76       Accept      12011.626        314.999         114          2000     -4.5     0.00   Accept       -5.643      -3.042      -1.552      -0.621      -0.272      -0.125      -0.042       0.016       0.037       0.046       0.050       0.049       0.045       0.038       0.036       0.036       0.030       0.024       0.025       0.030
    91      128     Good      824  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   XG000936.DAT   538364.000  3621205.000      863.000            1         2450   OW003631.DAT   539140.000  3621479.000      904.000            1         3250        0.000        1.913        2.117     4083.367         0.10        31.07       Accept      66325.704        385.224         114          2000    -60.5     0.00   Accept       -5.115      -2.342      -1.085      -0.394      -0.169      -0.086      -0.045      -0.018      -0.006      -0.002       0.002       0.008       0.009       0.006       0.010       0.015       0.001      -0.010      -0.000       0.010
